PolicyName	Year	KeyFocusAreas
National Water Policy	2012	Sustainable groundwater management, integrated water resources management, aquifer mapping, demand management, conservation, recharge, community participation
Model Groundwater (Sustainable Management) Bill	2016	Public trust doctrine, aquifer-based planning, well registration, groundwater security plans, decentralized management
Atal Bhujal Yojana	2019	Community-led groundwater management, behavioral change, demand management, data-based planning in water-stressed areas
National Aquifer Mapping and Management Programme (NAQUIM)	2012	Scientific aquifer mapping, sustainable extraction planning, recharge planning, groundwater governance support
Jal Shakti Abhiyan	2019	Water conservation, rainwater harvesting, groundwater recharge, watershed development
Ground Water Management and Regulation (State Acts)	Various	Permit systems, well registration, abstraction control, prevention of overexploitation
Central Ground Water Authority (CGWA) Guidelines	Ongoing	Regulation of industrial and infrastructure groundwater withdrawal, NOC system, compliance monitoring
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY)	2015	Efficient irrigation, micro-irrigation, reduction of agricultural groundwater overuse
National Water Mission	2011	20% water use efficiency improvement, basin planning, climate adaptation, recharge enhancement
Jal Jeevan Mission	2019	Rural drinking water supply, source sustainability, groundwater recharge
Master Plan for Artificial Recharge to Groundwater	2020	Recharge potential mapping, construction of recharge structures, groundwater level improvement
Amrit Sarovar Mission	2022	Water body rejuvenation, groundwater recharge enhancement, local water security
